date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:08:20	5507/5507	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:19%20GMT	http://qooh.me/	D:/qoohmeclone/qooh.me/index.html	(from )
06:08:20	22/22	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20Sep%202020%2013:08:19%20GMT	http://qooh.me/robots.txt		(from )
06:08:21	14898/14898	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:20%20GMT	http://qooh.me/Qooh.me	D:/qoohmeclone/qooh.me/Qooh.html	(from http://qooh.me/)
06:08:21	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225a02b0a3-47e%22	http://qooh.me/images/favicon.ico	D:/qoohmeclone/qooh.me/images/favicon.ico	(from http://qooh.me/)
06:08:22	29096/29096	---M--	200	added ('OK')	image/png	etag:%225a02b0a3-71a8%22	http://qooh.me/images/facebook-share-my-link-200x200.png	D:/qoohmeclone/qooh.me/images/facebook-share-my-link-200x200.png	(from http://qooh.me/)
06:08:23	64177/64177	---M--	200	added ('OK')	text/css	etag:%225a02b0a3-fab1%22	http://qooh.me/css/main.css	D:/qoohmeclone/qooh.me/css/main.css	(from http://qooh.me/)
06:08:25	5339/5339	---M--	200	added ('OK')	application/javascript	etag:%225a02b0a3-14db%22	http://qooh.me/js/FacebookHelper.js	D:/qoohmeclone/qooh.me/js/FacebookHelper.js	(from http://qooh.me/)
06:08:25	5904/5904	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:24%20GMT	http://qooh.me/how-it-works	D:/qoohmeclone/qooh.me/how-it-works.html	(from http://qooh.me/)
06:08:26	6762/6762	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:25%20GMT	http://qooh.me/user/sign-up/	D:/qoohmeclone/qooh.me/user/sign-up/index.html	(from http://qooh.me/)
06:08:26	192/192	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20Sep%202020%2013:08:25%20GMT	http://qooh.me/login-facebook.php	D:/qoohmeclone/qooh.me/login-facebook.php	(from http://qooh.me/)
06:08:27	10008/10008	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:26%20GMT	http://qooh.me/privacy	D:/qoohmeclone/qooh.me/privacy.html	(from http://qooh.me/)
06:08:27	4947/4947	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2013:08:26%20GMT	http://qooh.me/user/recover-password/	D:/qoohmeclone/qooh.me/user/recover-password/index.html	(from http://qooh.me/)
